dc.title,dc.contributor.author,dc.contributor,dc.contributor.editor,dc.subject.frascati,dc.subject.free,dc.description,dc.publisher,dc.date,dc.type,Orfeo.peerreviewed,dc.identifier.isbn,dc.identifier.issn,dc.identifier.publisherlink,dc.identifier.doi,dc.identifier.isi,dc.identifier.pubmed,dc.identifier.url,dc.identifier.scopus,dc.identifier.worldcat,dc.identifier.limo,dc.identifier.depositnumber,dc.source.title,dc.source.volume,dc.source.issue,dc.source.page,dc.relation.ispartofseries,dc.identifier.citation,dc.language,dc.relation.project,dc.audience,dc.coverage.spatial,dc.coverage.temporal,file
"Un petit Sedex tardi-orogénique dans les Maghrébides: le gisement messinien Zn-Pb de Sidi Driss (district de Nefza, Tunisie septentrionale)","Marignac, Ch.||Decree, S.||Deloule, E.||De Putter, Th.","","","","Geodynamics and mineral resources","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Réunion des Sciences de la Terre Nancy 2008  3e Colloque de Launay","","","","","","FR","Valorisation des géomatériaux du District Minier de Nefza-Sejnane (Nord de la Tunisie)  ( Regionale )","Scientifique","","",""
"Caractérisation géochimique des minerais de cuivre et cobalt de lArc Cuprifère katangais (République Démocratique du Congo) et implications génétiques.","De Putter, Th.||Dewaele, S.||Decree, S.||Jedwab, J.","","","","Geodynamics and mineral resources||PROMINES","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Réunion des Sciences de la Terre Nancy 2008  3e Colloque de Launay","","","","","","FR","GECO I: Geology for an Economic sustainable development ( Federal )","Scientifique","","",""
"Etude géochimique des paléolatérites constituent le gisement de fer de Tamra.","Decree, S.||Marignac, Ch.||De Putter, Th.||Yans, J.","","","","Geodynamics and mineral resources","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Réunion des Sciences de la Terre Nancy 2008  3e Colloque de Launay","","","","","","FR","Valorisation des géomatériaux du District Minier de Nefza-Sejnane (Nord de la Tunisie)  ( Regionale )","Scientifique","","",""
"Iron and trace elements cycling in mineralized paleolaterites from NW Tunisia.","Decree, S.||De Putter, Th.||De Jond, J.||Marignac, Ch.","","","","Geodynamics and mineral resources","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","18th Goldschmidt Conference  Vancouver","","","","","","EN","Valorisation des géomatériaux du District Minier de Nefza-Sejnane (Nord de la Tunisie)  ( Regionale )","Scientifique","","",""
"Changes in arthropod assemblages along a wide gradient of disturbance in Gabon.","Basset, Y.||Missa, O.||Alonso, A.||Miller, S.||Curletti, G.||De Meyer, M.||Eardley, C.||Lewis, O.||Mansell, M.||Novotny, V.||Wagner, T.","","","","Invertebrates","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Conservation Biology ","22","","1552-1563","","","EN","","Scientifique","","",""
"Iron mineralisation in Mio-Pliocene sediments of the Tamra iron mine (Nefza mining district, Tunisia): Mixed influence of pedogenesis and hydrothermal alteration ","De Putter, Th.||Yans, J.||Moussi, B.||Recourt, Ph.||Bruyere, D.||Dupuis, Ch.","","","","Geodynamics and mineral resources","The Tamra iron mine (Nefza mining district, N. Tunisia) has been exploited for about one century. There are, however, very few publications modelling the mineralisation within this 50 m-thick MessinianZanclean sedimentary series. We present the result of a detailed sedimentological, mineralogical and geochemical study on the siliciclastic sediments heavily mineralised in iron. In their present state of preservation, these are rather unusual sediments, wherein most of sedimentological information is obliterated by iron impregnation. The whole series consists of a succession of fining-upward sequences (a few meters in thickness) that are capped by clay-bearing variegated and mottled horizons, each sequence being interpreted as a shallowing-upward sequence topped by an emersive horizon corresponding to a paleosoil. We propose that alteration and/or pedogenesis by the downward percolation of meteoric fluids accounts for most of the initial iron concentration, while a hydrothermal overprint, linked to the neighbouring Miocene magmatic rocks and associated mineral deposits (Sidi Driss FePbZn mine), accounts for the existing extreme iron enrichment. The proposed model is likely to apply to several other iron mines linked to the Miocene magmatic activity in the whole Maghreb area, and especially along the Apenninic thrust front (locally known as Tell-Rif front).    ","Elsevier","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Ore Geology Reviews","33","","397-410","","","EN","","Scientifique","","",""
"Systematic InSAR monitoring of African active volcanic zones: What we have learned in three years, or an harvest beyond our expectations","Fernandez, J.||Gonzalez, P.||Kervyn, F.||Wauthier, C.||Frischknecht, C.||Calais, E.||Heleno, S.||Cayol, V.||Oyen, A.||Marinkovic, P.","","","","Natural hazards","","","2008","Article scientifique non peer reviewed","no","","","","10.1109/USEREST.2008.4740361 ","","","","","","","","Proc. of the 2008 second workshop on USE of remote sensing techniques for monitoring volcanoes and seismogenic areas USEReST 2008","","","","","","EN","Kinematic constraints on mantle-lithosphere interactions  ( National Science Foundation (USA) )","Scientifique","","",""
"Dyke intrusion in a youthful continental rift revealed by InSAR: The Lake Natron (Tanzania) 2007 seismo-magmatic crisis. (Invited Lecture)","d'Oreye, N.||Calais, E.||Albaric, J.||Deschamps, A.||Delvaux, D.||Déverchère, J.||Ebinger, C.||Ferdinand, R.W.||Kervyn, F.||Macheyeki, A.S.||Oyen, A.||Perrot, J.||Saria, E.||Smets, B.||Stamps, D.S.||Wauthier, C.","","","","Geodynamics and mineral resources||Natural hazards","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","IAVCEI 2008 General Assembly","","","","","","EN","Kinematic constraints on mantle-lithosphere interactions  ( National Science Foundation (USA) )","Scientifique","","",""
"Surface ruptures associated to the July-August 2007 Gelai volcano-tectonic event, North Tanzania.","Delvaux, D.||Smets, B.||Wauthier, C.||Macheyeki, A.S.||Sariah, E.||d'Oreye, N.||Oyen, A.||Kervyn, F.","","","","Geodynamics and mineral resources||Natural hazards","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","European Geosciences Union General Assembly","","","","","","EN","","Scientifique","","",""
"Tectonic setting of the July-August 2007 Gelai volcano-tectonic event, North Tanzania.","Delvaux, D.||Smets, B.||Wauthier, C.||Macheyeki, A.S.||Sariah, E.||d'Oreye, N.||Oyen, A.||Kervyn, F.","","","","Geodynamics and mineral resources||Natural hazards","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","European Geosciences Union General Assembly","","","","","","EN","","Scientifique","","",""
"A continental rifting event revealed by InSAR: The Lake Natron (Tanzania) 2007 seismo-magmatic crisis.","d'Oreye, N.||Calais, E.||Oyen, A.||Wauthier, C.||Cayol, V.||Delvaux, D.||Smets, B.||Sariah, E.||Kervyn, F.","","","","Geodynamics and mineral resources||Natural hazards","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","European Geosciences Union General Assembly","","","","","","EN","Kinematic constraints on mantle-lithosphere interactions  ( National Science Foundation (USA) )","Scientifique","","",""
"The roots and branches of the EDIT GeoPlatform tree.","Meganck, B.||Roca Ristol, P.||Theeten, F.||Mergen, P.||Cael, G.||Jacobsen, K.","","","","Biological collection and data management||ICT||Invertebrates||Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","TDWG 2008 annual conference","","","92","","","EN","","Scientifique","","",""
"RDF based Reference Network Architecture for a distributed Digital Library system, the Royal Museum for Central Africa's use case on African Bird Information (STERNA project).","Mergen, P.||Vanhee, H.||Lacaille, A.||Cael, G.||Louette, M.","","","","Archives and collection management||Biological collection and data management||Culture & Society||Invertebrates||Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","TDWG 2008 annual conference","","","92-93","","","EN","STERNA: Semantic Web-based Thematic European Reference Network Application ( European )","Scientifique","","",""
"Het Xylarium van Tervuren: de houtcollectie van het Koninklijk Museum voor Midden-Afrika","Beeckman, H.","","Knapen, L. & Kenis, L., Uitgeverij Peeters","","Wood biology","","Maurits Sabbebibliotheek, Fac.Godgeleerdheid","2008","Partie douvrage non peer reviewed","no","","","","","","","","","","","","Hout in boeken, houten boeken en de fraaye konst van houtdraayen","","","195-200","","","NL","","Scientifique","","",""
"Féminismes africains et rapports de genre","de Lame, D.","","Degavre F","","Culture & Society","","Université des Femmes","2008","Partie douvrage non peer reviewed","no","2-87288-018-6","","","","","","","","","","","Diversité des féminismes","","","123-130","","","FR","","Scientifique","","",""
"Revisiter l'Histoire pour "réparer"","Cornelis [Bompuku Eyenga-Cornelis], S.","","","","Culture & Society","","Université catholique de Louvain","2008","pre-prints/ working papers","no","","","","","","","http://www.uclouvain.be/cps/ucl/doc/adcp/documents/cornelis.pdf","","","","","","","","","Louvain","","FR","","Scientifique","","",""
"The boundaries of the West African craton","Ennih, N.||Liégeois, J.P.","","Ennih, N.||Liégeois, J.P.","","Geodynamics and mineral resources","","Geological Society","2008","Ouvrage peer reviewed","yes","","","","","","","","","","","","","297","","534","Special Publication ","","EN","","Scientifique","","",""
"Préface","Cornelis [Bompuku Eyenga-Cornelis], S.||Jewsiewicki, B.","","L. Verbeek","","Culture & Society","","L'Harmattan","2008","Partie douvrage non peer reviewed","no","","","","","","","","","","","","Les arts plastiques de l'Afrique contemporaine. 60 ans d'histoire à Lubumbashi (R-D Congo)","","","7-9","","","FR","","Scientifique","","",""
"Mining, good governance and sustainable development in the Katanga Copperbelt (Democratic Republic of Congo)","De Putter, Th.||Gorus, J.","","","","Geodynamics and mineral resources","","","2008","Colloque et congrès scientifique","yes","","","","","","","","","","","","22e Colloque de Géologie Africaine","","","183","","","EN","","Scientifique","","",""
"GECO, ou comment gérer la traçabilité des minerais","De Putter, Th.","","Belgian Science Policy","","Geodynamics and mineral resources","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Science Connection","23","","29-31","","","FR","","Scientifique","","",""
"Carte géologique de la République Démocratique du Congo - Arc cuprifère du Katanga ","Laghmouch, M.||Lavreau, J.||Fernandez-Alonso, M.||Tack, L.||Hardy, B.","","","","Geodynamics and mineral resources||ICT||Natural hazards||PROMINES","","Musée royal de l'Afrique centrale","2008","Document carthographique","no","9789074752510","","","","","","","","","","","","","","","1/500.000","","FR","GECO I: Geology for an Economic sustainable development ( Federal )","Scientifique","","",""
"Carte géologique et minière de la République Démocratique du Congo - Arc cuprifère du Katanga ","Laghmouch, M.||Lavreau, J.||Fernandez-Alonso, M.||Tack, L.||Hardy, B.","","","","Geodynamics and mineral resources||ICT||Natural hazards||PROMINES","","Musée royal de l'Afrique centrale","2008","Document carthographique","no","9789074752503","","","","","","","","","","","","","","","1/500.000","","FR","GECO I: Geology for an Economic sustainable development ( Federal )","Scientifique","","",""
"Carte administrative et routière de la République Démocratique du Congo","Laghmouch, M.||Hardy, B.","","","","ICT||Natural hazards","","Musée royal de l'Afrique centrale","2008","Document carthographique","no","9789074752336","","","","","","","","","","","","","","","1/2.500.000","","FR","","Scientifique","","",""
"Carte de l'occupation du sol de la République Démocratique du Congo","Laghmouch, M.||Hardy, B.","","","","ICT||Natural hazards","","Musée royal de l'Afrique centrale","2008","Document carthographique","no","9789074752350","","","","","","","","","","","","","","","1/2.500.000","","FR","","Scientifique","","",""
"Argilisation des roches magmatiques du district de Nefza au Nord Ouest de la Tunisie","De Putter , Th.||Moussi, B.||Medhioub, M.||Hatira, N.||Aouichi, A.||Lopez-Galindo, A.||Yans, J.||Baele, J.M.||Jamoussi, F.","","","","Geodynamics and mineral resources","","","2008","Colloque et congrès scientifique","yes","","","","","","","","","","","","22e Colloque de Géologie Africaine","","","253","","","FR","","Scientifique","","",""
"Gouvernance et environnement en Afrique centrale : le modèle participatif en question.","Trefon, T.||Arnoldussen, D.||Binot, A.||Joiris, D.V.","","","","Geodynamics and mineral resources","","KMMA-MRAC","2008","Ouvrage non peer reviewed","no","978-90-747-5238-1","","","","","","","","","","","","","","278","","","FR","","Scientifique","","",""
"La réforme du secteur forstier en République Démocratique du Congo : défis sociaux et faiblesses institutionnelles.","Trefon, T.","","","","Geodynamics and mineral resources","","Agence française de développement/De Boeck","2008","Article scientifique peer reviewed","yes","","0002-0478","","","","","","","","","","Afrique contemporaine","n° 227","","81-93","","","FR","","Scientifique","","","http://www.africamuseum.be/publication_docs/tref_Af.Cont_forets DRC.pdf::accessrights:public access"
"Défis sociaux et nouveaux enjeux au Congo : l'exploitation industrielle du bois.","Trefon, T.","","","","Geodynamics and mineral resources","","Société scientifique de Bruxelles","2008","Article scientifique peer reviewed","yes","","0035-2160","","","","","","","","","","Revue des questions scientifiques","179 (1)","","37-54","","","FR","","Scientifique","","",""
"L'exploitation industrielle du bois au Congo : une approche participative est-elle possible?","Trefon, T.","","Roulet P.-A. ; Assenmaker P.","","Geodynamics and mineral resources","","MRAC","2008","Partie douvrage non peer reviewed","no","978-9-0747-5238-1","","","","","","","","","","","Gouvernance et environnement en Afrique centrale : le modèle partcipatif en question","","","73-85","","","FR","","Scientifique","","",""
"Espaces de transition : le périurbain en Afrique centrale.","Trefon, T.","","Roulet P.-A. ; Assenmaker P.","","Geodynamics and mineral resources","","MRAC","2008","Partie douvrage non peer reviewed","no","978-9-0747-5238-1","","","","","","","","","","","Gouvernance et environnement en Afrique centrale : le modèle participatif en question","","","257-278","","","FR","","Scientifique","","",""
"'Introduction'","Arnoldussen, D.||Assenmaker, P.||Bigombe Logo, P.||Binot, A.||Cogels, S.||Guedje, N.||Joiris, D.V.||Lejoly, J.||Romainville, M.||Roulet, P.-A.||Trefon, T.","","Roulet P.-A. ; Assenmaker P.","","Geodynamics and mineral resources","","MRAC","2008","Partie douvrage non peer reviewed","no","978-9-0747-5238-1","","","","","","","","","","","Giouvernance et environnement en Afrique centrale : le modèle partificipatif en question","","","11-17","","","EN","","Scientifique","","",""
"Sediment-bound nutrient export from micro-dam catchments in northern Ethiopia","Nigussie Haregeweyn,  ||Poesen, J.||Nyssen, J.||Mitiku Haile,  ||Govers, G.||Verstraeten, G.||Moeyersons, J.","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Land degradation & Development","19","","136-152","","","EN","","Scientifique","","",""
"Sediment yield variability in northern Ethiopia: a quantitative analysis of its controlling factors","Nigussie Haregeweyn,  ||Poesen, J.||Nyssen, J.||Govers, G.||Verstraeten, G.||de Vente, J.||Deckers, J.||Moeyersons, J.||Mitiku Haile,  ","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Catena","75(1)","","65-76","","","EN","","Scientifique","","",""
"Soil-landscape relationships in the basalt-dominated highlands of Tigray, Ethiopia","Van de Wauw, J.||Baert, G.||Moeyersons, J.||Nyssen, J.||De Geyndt, K.||Nurhussein Taha,  ||Amanuel Zenebe,  ||Poesen, J.||Deckers, J.","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Catena","75(1)","","117-127","","","EN","","Scientifique","","",""
"Dynamics of soil erosion rates and controlling factors in the northern Ethiopian Highlands - towards a sediment budget","Nyssen, J.||Poesen, J.||Moeyersons, J.||Mitiku Haile,  ||Deckers, J.","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Earth Surface Processes and Landforms","33","","695-711","","","EN","","Scientifique","","",""
" Mass movement mapping for geomorphological understanding and sustainable development: Tigray, Ethiopia ","Moeyersons, J.||Van Den Eeckhaut, M.||Nyssen, J.||Tesfamichael Gebreyohannes,  ||Van de Wauw, J.||Hofmeister, J.||Poesen, J.||Deckers, J.||Mitiku Haile,  ","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Catena","75(1)","","45-54","","","EN","","Scientifique","","",""
"Effects of region-wide soil and water conservation in semi-arid areas: the case of northern Ethiopia","Nyssen, J.||Poesen, J.||Descheemaeker, K.||Nigussie Haregeweyn,  ||Mitiku Haile,  ||Moeyersons, J.||Frankl, A.||Govers, G.||Munro, R.N.||Deckers, J.","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Zeitschrift für Geomorphologie","52","","291-315","","","EN","","Scientifique","","",""
"Spatial patterns of old, deep-seated landslides: a case study in the northern Ethiopian highlands","Van Den Eeckhaut, M.||Moeyersons, J.||Nyssen, J.||Amanuel Abraha,  ||Poesen, J.||Mitiku Haile,  ||Deckers, J.","","","","Natural hazards","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Geomorphology","105","","239-252","","","EN","","Scientifique","","",""
"Albizia adianthifolia: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","45","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Albizia ferruginea: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","56","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Beilschmiedia mannii: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","122-123","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Autranella congolensis: anatomie","Beeckman, H.||Détienne, P.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","98","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Cassipourea malosana: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","152","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Entandrophragma angolense: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","263","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Entandrophragma candollei: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","267","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Entandrophragma cylindricum: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","271","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Entandrophragma utile: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","278","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Ficus sur: anatomie ","Uetimane, E.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","324","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Haplormosia monophylla: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","348-349","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Heritiera utilis: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","354-355","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Lovoa trichilioides: anatomie","Beeckman, H.||Détienne, P.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","397","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Mansonia altissima: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","405","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Millettia laurentii: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","419-420","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Millettia stuhlmannii: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","424","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Ocotea kenyensis: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","456-457","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Ocotea usambarensis: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","459","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Pericopsis elata: anatomie","Ng'andwe, P.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","480","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Phylloxylon perrieri: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","483","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Piptadeniastrum africanum: anatomie","Uetimane, E.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","508","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Pseudocedrela kotschyi: anatomie","Uetimane, E.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","533","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Pterocarpus angolensis: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","539","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Pterocarpus erinaceus: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","544","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Pterygota macrocarpa: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","561","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Quassia undulata: anatomie","Uetimane, E.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","566-567","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Sterculia oblonga: anatomie","Uetimane, E.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","583","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Streblus dimepate: anatomie","Beeckman, H.||Détienne, P.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","590","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Swietenia macrophylla: anatomie","Uetimane, E.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","593-594","Bois d'oeuvre 1","","FR","","Scientifique","","",""
"Tieghemella africana: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","626","Bois d'oeuvre 1","","FR","","Scientifique","","",""
